FILE	EXC	INF	PLOT3	PLOT5	LOTSC	NIPH	NIPHEM	ALM	ASM	PAMA	LNF	Invalid CDSs	Classified_CDSs	Total_CDSs
GCA_036292925.1	2227	2021	1	6	0	82	49	7	23	0	2803	0	4573	4892
GCA_036299585.1	4247	7	0	9	1	9	123	7	23	0	2793	0	4584	4903
GCA_037035515.1	4206	57	1	7	2	37	157	9	23	0	2720	0	4717	5056
GCA_038017815.1	4246	17	0	10	1	8	136	3	21	0	2777	0	4607	4909
GCA_038086625.1	4266	0	0	8	1	4	138	3	22	0	2777	0	4603	4903
GCA_038420345.1	4250	83	0	5	1	27	172	9	24	0	2648	0	4799	5127
GCA_039685295.1	4274	24	0	5	0	16	147	8	24	0	2721	0	4681	5007
GCA_039686495.1	4150	9	0	12	2	2	133	5	23	0	2883	0	4492	4784
GCA_039694335.1	4109	59	0	12	2	17	119	5	21	0	2875	0	4503	4810
GCA_039735685.1	4150	57	1	9	3	8	168	5	23	0	2795	0	4627	4928
GCA_039775235.1	4238	1	1	8	1	6	135	5	22	0	2802	0	4582	4882
GCA_039778795.1	4218	1	0	16	1	6	139	5	22	0	2811	0	4576	4879
GCA_039787335.1	4139	22	0	12	1	7	128	3	21	0	2886	0	4489	4787
GCA_039865785.1	4160	65	0	13	0	8	118	6	25	0	2824	0	4546	4866
GCA_039879905.1	4315	12	1	14	1	2	117	6	21	0	2730	0	4628	4939
GCA_039947755.1	4172	6	0	9	2	1	105	5	25	0	2894	0	4452	4773
GCA_039951795.1	3994	43	1	7	2	22	116	5	31	0	2998	0	4375	4688
GCA_039997695.1	4026	49	0	4	0	13	165	8	22	0	2932	0	4487	4800
GCA_040279925.1	4141	40	0	14	1	5	118	5	21	0	2874	0	4500	4803
GCA_040935505.2	3435	750	0	6	0	56	90	5	15	2	2860	0	4517	4806
GCA_041047495.1	4128	7	0	10	1	2	153	5	21	0	2892	0	4502	4791
GCA_041545175.1	4141	14	0	14	1	2	138	7	22	0	2880	0	4500	4793
GCA_042177385.1	4178	5	0	9	1	5	119	4	21	0	2877	0	4486	4789
GCA_042441235.1	4107	44	0	14	0	16	112	5	18	0	2903	0	4479	4789
GCA_042710215.1	4078	129	1	8	0	24	157	10	19	0	2793	0	4629	4940
GCA_042935545.1	4143	64	1	1	0	27	161	9	20	0	2793	0	4639	4940
GCA_043574615.1	4079	62	2	17	2	19	128	7	19	2	2882	0	4503	4839
GCA_044682155.1	4015	15	0	8	2	7	117	5	32	0	3018	0	4344	4638
GCA_044986905.1	3987	70	0	5	2	23	114	5	30	0	2983	0	4403	4700
GCA_045501555.1	4139	36	1	3	0	6	159	8	19	0	2848	0	4552	4851
GCA_051797185.1	3997	197	0	2	1	42	100	5	25	0	2850	0	4530	4875
GCA_052635535.1	4197	22	0	14	3	5	115	5	18	0	2840	0	4522	4832
