genome_id	Source	Source2	Serotype	STX
2018-STH-0004	Meat	Meat	O91:H14	Stx2b,Stx1a
2016-SEQ-1059	Nuts/Seeds	Nuts/Seeds	O168:H8	Stx2a
2017-SEQ-0050	Flour	Flour	O8:H28	Stx2a
2017-SEQ-1842	Meat	Meat	O116:H16	Stx2a
2014-SEQ-0093	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-SEQ-0782	Meat	Lamb	OUT:H26	Stx2b,Stx1c
2018-STH-0067	Meat	Meat	O128:H2	Stx2b,Stx1c
2015-SEQ-1456	Meat	Meat	O132:H18	Stx2a
2018-SEQ-0227	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0351	Meat	Meat	O113:H21	Stx2d
2017-SEQ-0694	Meat	Meat	OUT:H11	Stx2a
GCA_012140285.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-DAR-0290	Meat	Meat	O38:H26	Stx2b,Stx1c
2017-SEQ-0460	Meat	Meat	O91:H21	Stx2a,Stx1a
2016-SEQ-0355	Meat	Meat	O178:H19	Stx2a,Stx1a
2017-SEQ-0456	Flour	Flour	O121:H19	Stx2a
2017-SEQ-1688	Dairy	Dairy	O17/O77:H18	Stx2d
GCA_012141125.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-GTA-0110	Meat	Meat	O146:H8	Stx1c
2019-DAR-0251	Meat	Meat	O146:H8	Stx1c
2018-STH-0058	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-SEQ-0230	Meat	Meat	O157:H7	Stx2a
2019-SEQ-1525	Meat	Meat	O5:H19	Stx1c
2019-DAR-0295	Meat	Meat	O146:H8	Stx1c
2017-MER-0388	Meat	Meat	O128:H2	Stx2b,Stx1c
2021-DAR-0024	Meat	Lamb	O9:H30	Stx2i
2014-SEQ-0757	Vegetable	Vegetable	O146:H32	Stx2a
2015-SEQ-0890	Meat	Meat	O91:H14	Stx1a
2017-SEQ-0277	Meat	Meat	O55:H12	Stx1a
2017-MER-0214	Meat	Meat	O157:H7	Stx2c,Stx1a
2014-SEQ-0252	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-NML-0043	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0453	Environment	Environment	O157:H7	Stx2c
2017-SEQ-1066	Meat	Meat	O109:H5	Stx1a
2014-SEQ-0446	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0447	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0448	Meat	Meat	O157:H7	Stx2c
2018-GTA-0125	Meat	Meat	O178:H7	Stx1c
2019-SEQ-0328	Meat	Meat	O88:H25	Stx2a,Stx1a
2017-SEQ-0657	Meat	Meat	O113:H21	Stx2a
GCA_012250705.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-1307	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0148	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0179	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140385.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-SEQ-0522	Meat	Meat	O157:H7	ND
2018-STH-0054	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-1309	Meat	Meat	O157:H7	Stx2a
GCA_012139945.1	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012140365.1	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140465.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-MER-0173	Meat	Meat	O91:H14	Stx1a
2016-SEQ-1340	Meat	Meat	O8:H2	Stx2b
2019-SEQ-1270	Meat	Meat	O128:H2	Stx2b,Stx1c
2019-SEQ-1198	Meat	Meat	O38:H26	Stx2b,Stx1c
2018-SEQ-0771	Meat	Lamb	O75:H8	Stx2b,Stx1c
GCA_012140405.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-DAR-0015	Meat	Lamb	OUT:H21	Stx2i
2014-SEQ-0350	Meat	Meat	O113:H21	Stx2d
GCA_012141225.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-0877	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-GTA-0049	Meat	Meat	O146:H8	Stx1c
2017-CAL-0123	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-SEQ-1060	Meat	Meat	O174:H21	Stx2c
2017-GTA-0249	Meat	Meat	O174:H21	Stx2c
2018-GTA-0121	Flour	Flour	O159:H19	Stx2a
2017-GTA-0253	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-SEQ-0589	Meat	Lamb	O104:H7	Stx1c
2018-SEQ-0777	Meat	Lamb	O104:H7	Stx1c
2018-SEQ-0233	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0183	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-SEQ-0212	Meat	Meat	O118:H2	Stx1a
2016-SEQ-1342	Meat	Meat	O8:H2	Stx2b
GCA_012140725.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-SEQ-0385	Meat	Lamb	O128:H2	Stx2b,Stx1c
2017-NML-0045	Environment	Environment	O157:H7	Stx2c
2017-MER-0250	Meat	Meat	O157:H7	Stx2a
2017-SEQ-1652	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-STH-0065	Meat	Meat	O128:H2	Stx2b,Stx1c
2018-STH-0066	Meat	Meat	O128:H2	Stx2b,Stx1c
2016-SEQ-0396	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0888	Meat	Meat	O91:H14	Stx1a
2019-MER-0040	Meat	Meat	O157:H7	Stx2a
2017-BUR-0060	Meat	Meat	O171:H2	Stx2a
2017-CAL-0262	Flour	Flour	O121:H19	Stx2a
2017-BUR-0074	Flour	Flour	O121:H19	Stx2a
2017-BUR-0075	Flour	Flour	O121:H19	Stx2a
2021-BUR-0024	Meat	Meat	O171:H2	Stx2d
2016-SEQ-1339	Meat	Meat	O8:H2	Stx2b
2017-SEQ-0385	Meat	Meat	O55:H12	Stx1a
2020-DAR-0032	Meat	Meat	O76:H19	Stx2b
2017-BUR-0073	Flour	Flour	O121:H19	Stx2a
2018-STH-0064	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0063	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-CAL-0119	Meat	Meat	O157:H7	Stx2a
2017-BUR-0077	Flour	Flour	O121:H19	Stx2a
2019-MER-0138	Meat	Lamb	OUT:H21	Stx2i
2018-GTA-0124	Meat	Meat	O178:H7	Stx1c
2018-GTA-0126	Meat	Meat	O178:H7	Stx1c
2017-SEQ-0069	Flour	Flour	O8:H28	Stx2a
2017-SEQ-1600	Meat	Meat	O185:H7	Stx2c
2018-SEQ-0778	Meat	Lamb	O104:H7	Stx1c
2016-SEQ-1341	Meat	Meat	O8:H2	Stx2b
2015-SEQ-0037	Meat	Meat	O157:H7	Stx2c
2016-SEQ-0129	Meat	Meat	O157:H7	Stx2c
2017-PAC-0024	Environment	Environment	O157:H7	Stx2c
2017-NML-0052	Environment	Environment	O157:H7	Stx2c
2016-SEQ-0354	Meat	Meat	O178:H19	Stx2a,Stx1a
2014-SEQ-1296	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2018-BUR-0050	Meat	Meat	O76:H19	Stx1c
2019-SEQ-0398	Meat	Lamb	O76:H19	Stx1c
2021-DAR-0015	Meat	Meat	O128:H2	Stx2b,Stx1c
2017-SEQ-1601	Meat	Meat	O185:H7	Stx2c
2014-SEQ-0182	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-SEQ-0695	Meat	Meat	OUT:H11	Stx2a
2018-BUR-0121	Meat	Meat	O128:H2	Stx2b,Stx1c
2015-SEQ-0891	Meat	Meat	O157:H7	Stx2c
GCA_012148805.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2021-MIN-0009	Meat	Lamb	O8:H19	Stx2i
GCA_012140625.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-SEQ-0836	Meat	Meat	O157:H7	Stx2c
2019-MER-0102	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-CAL-0098	Meat	Meat	O157:H7	Stx2a,Stx1a
2020-SEQ-0302	Meat	Meat	O157:H7	Stx2a
2017-MER-0414	Meat	Meat	O157:H7	Stx2a
GCA_012149105.1	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140245.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-NML-0035	Meat	Meat	O157:H7	Stx2c
2017-NML-0037	Meat	Meat	O157:H7	Stx2c
2016-SEQ-0130	Meat	Meat	O157:H7	Stx2c
GCA_012141085.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2013-SEQ-0110	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-CAL-0229	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-1304	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-1314	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-STH-0057	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140065.1	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012139725.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-SEQ-0083	Meat	Meat	O55:H12	Stx1a
2018-STH-0056	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0060	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0061	Meat	Meat	O157:H7	Stx1a,Stx2a
2016-BUR-0136	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1131	Vegetable	Vegetable	O157:H7	Stx2a,Stx1a
2017-NML-0039	Meat	Meat	O157:H7	Stx2c
2018-MER-0007	Environment	Environment	O157:H7	Stx2c
GCA_012140205.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0457	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2017-SEQ-0730	Meat	Meat	O5:H19	Stx2b,Stx1c
2020-SEQ-0289	Meat	Meat	O38:H26	Stx2b,Stx1c
2019-SEQ-0300	Meat	Meat	O157:H7	Stx2a,Stx1a
GCA_012139625.1	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012139645.1	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140605.1	Meat	Meat	O157:H7	Stx2a
GCA_012139705.1	Meat	Meat	O157:H7	Stx2a
GCA_012140665.1	Meat	Meat	O157:H7	Stx2a
GCA_012140485.1	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012139885.1	Meat	Meat	O157:H7	Stx2a
GCA_012140425.1	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0450	Meat	Meat	O157:H7	Stx2c
2019-MER-0216	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-SEQ-1844	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-STH-0050	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-MER-0517	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2020-SEQ-0076	Meat	Meat	O157:H7	Stx2a
2015-SEQ-1640	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0520	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2018-STH-0049	Meat	Meat	O157:H7	Stx1a,Stx2a
GCA_012140085.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-STH-0062	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-CAL-0231	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-1312	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-MER-0539	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0181	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-CAL-0097	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0149	Meat	Meat	O157:H7	Stx2a
2017-SEQ-0521	Meat	Meat	O157:H7	ND
2014-SEQ-1306	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-GTA-0025	Flour	Flour	O8:H28	Stx2a
2017-SEQ-0383	Meat	Meat	O55:H12	Stx1a
2020-DAR-0009	Meat	Meat	O5:H19	Stx2b,Stx1c
2017-NML-0050	Environment	Environment	O157:H7	Stx2c
2014-SEQ-1300	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2019-BUR-0117	Meat	Meat	O128:H2	Stx2b,Stx1c
2014-SEQ-0758	Vegetable	Vegetable	O146:H32	Stx2a
2014-SEQ-1297	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-0246	Nuts/Seeds	Nuts/Seeds	O185:H7	Stx2c
2014-SEQ-1303	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0056	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2018-MER-0070	Meat	Meat	O103:H2	Stx1a
2013-SEQ-0111	Meat	Meat	O157:H7	Stx2a
2017-GTA-0247	Meat	Meat	O174:H21	Stx2c
2021-SEQ-0006	Meat	Meat	O55:H12	Stx1a
2019-CAL-0099	Meat	Meat	O157:H7	Stx2a
2019-MER-0039	Meat	Meat	O157:H7	Stx1a,Stx2c
2016-BUR-0134	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-BUR-0140	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-1643	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1849	Meat	Meat	O157:H7	Stx1a,Stx2a
CFIAFB20180581	Meat	Lamb	OUT:H21	Stx2i
2016-SEQ-0243	Nuts/Seeds	Nuts/Seeds	O132:H18	Stx2a
2017-CAL-0125	Meat	Meat	O157:H7	Stx2a
2017-MER-0519	Dairy	Dairy	O157:H7	Stx2a,Stx1a
2017-NML-0031	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0245	Nuts/Seeds	Nuts/Seeds	O185:H7	Stx2c
2017-GTA-0248	Meat	Meat	O174:H21	Stx2c
2017-MER-0187	Meat	Meat	O157:H7	Stx2c
2017-MER-0306	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-GTA-0165	Meat	Meat	O157:H7	Stx1a,Stx2a
