Genome_ID	Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
2021-MIN-0249	virulence_ecoli	yghJ	98.1	4573 / 4569	1 length=5075290 depth=1.00x	3382489..3387057		CP002729
2021-MIN-0249	stx	stx2	99.6	1242 / 1242	1 length=5075290 depth=1.00x	2153681..2154922	"O9 CB10366, variant i"	FN252457
2021-MIN-0250	virulence_ecoli	astA	100	117 / 117	1 length=5065598 depth=1.00x circular=true	4514580..4514696	  Heat-stable enterotoxin EAST-1	AF161000
2021-MIN-0250	virulence_ecoli	capU	99.91	1089 / 1089	1 length=5065598 depth=1.00x circular=true	4235791..4236879	 Hexosyltransferase homolog	CP002729
2021-MIN-0250	virulence_ecoli	capU	99.91	1089 / 1089	1 length=5065598 depth=1.00x circular=true	4235791..4236879	 Hexosyltransferase homolog	CU928145
2021-MIN-0250	virulence_ecoli	csgA	100	456 / 456	1 length=5065598 depth=1.00x circular=true	2935917..2936372	 curlin major subunit CsgA	CP069646
2021-MIN-0250	virulence_ecoli	fdeC	93.57	4258 / 4254	1 length=5065598 depth=1.00x circular=true	3767847..3772097	 intimin-like adhesin FdeC	AP010953
2021-MIN-0250	virulence_ecoli	gad	100	1401 / 1401	1 length=5065598 depth=1.00x circular=true	226132..227532	  Glutamate decarboxylase	AP010953
2021-MIN-0250	virulence_ecoli	gad	99	1401 / 1401	1 length=5065598 depth=1.00x circular=true	2449777..2451177	  Glutamate decarboxylase	BA000007
2021-MIN-0250	virulence_ecoli	hlyE	98.69	918 / 918	1 length=5065598 depth=1.00x circular=true	2825606..2826523	  Avian E. coli haemolysin	ECU57430
2021-MIN-0250	virulence_ecoli	hra	99.19	741 / 741	1 length=5065598 depth=1.00x circular=true	4278962..4279702	  Heat-resistant agglutinin	CP007149
2021-MIN-0250	virulence_ecoli	hra	99.19	741 / 741	1 length=5065598 depth=1.00x circular=true	4278962..4279702	  Heat-resistant agglutinin	CP040456
2021-MIN-0250	virulence_ecoli	mchB	99.66	294 / 294	1 length=5065598 depth=1.00x circular=true	4503548..4503841	  Microcin H47 part of colicin H	AJ009631
2021-MIN-0250	virulence_ecoli	mchC	99.74	1551 / 1551	1 length=5065598 depth=1.00x circular=true	4501727..4503277	  MchC protein	FN554766
2021-MIN-0250	virulence_ecoli	mchF	99	2097 / 2097	1 length=5065598 depth=1.00x circular=true	4497733..4499829	  ABC transporter protein MchF	FN554766
2021-MIN-0250	virulence_ecoli	mcmA	97.85	279 / 279	1 length=5065598 depth=1.00x circular=true	4497201..4497479	  Microcin M part of colicin H	AJ586887
2021-MIN-0250	virulence_ecoli	nlpI	99.77	885 / 885	1 length=5065598 depth=1.00x circular=true	578423..579307	  lipoprotein NlpI precursor	CP000243
2021-MIN-0250	virulence_ecoli	ompT	95.78	948 / 948	2 length=115996 depth=1.58x circular=true	8387..9334	  Outer membrane protease (protein protease 7)	CDLB01000100
2021-MIN-0250	virulence_ecoli	shiB	96.73	428 / 462	1 length=5065598 depth=1.00x circular=true	4281649..4282076	 homologs of the Shigella flexneri SHI-2 pathogenicity island gene shiA	AAD44732
2021-MIN-0250	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	1 length=5065598 depth=1.00x circular=true	4671049..4672290	   stx2i-O9-CB10366	FN252457
2021-MIN-0250	virulence_ecoli	terC	99.86	714 / 714	1 length=5065598 depth=1.00x circular=true	986655..987368	  Tellurium ion resistance protein	CP007491
2021-MIN-0250	virulence_ecoli	terC	100	1041 / 1041	1 length=5065598 depth=1.00x circular=true	4440907..4441947	  Tellurium ion resistance protein	CYAS01000072
2021-MIN-0250	virulence_ecoli	terC	100	1041 / 1041	1 length=5065598 depth=1.00x circular=true	701342..702382	  Tellurium ion resistance protein	CYAS01000072
2021-MIN-0250	virulence_ecoli	terC	99.9	966 / 966	1 length=5065598 depth=1.00x circular=true	655341..656306	  Tellurium ion resistance protein	MG591698
2021-MIN-0250	virulence_ecoli	tia	99.73	738 / 738	1 length=5065598 depth=1.00x circular=true	4434944..4435681	 Tia Invasion determinant	CP015995
2021-MIN-0250	virulence_ecoli	traT	100	732 / 732	2 length=115996 depth=1.58x circular=true	59891..60622	  Outer membrane protein complement resistance	LAUD01000149
2021-MIN-0250	virulence_ecoli	yehA	98.45	1035 / 1035	1 length=5065598 depth=1.00x circular=true	1738702..1739736	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
2021-MIN-0250	virulence_ecoli	yehB	98.79	2481 / 2481	1 length=5065598 depth=1.00x circular=true	1736206..1738686	" Usher, YHD fimbriael cluster"	CP042934
2021-MIN-0250	virulence_ecoli	yehC	97.78	675 / 675	1 length=5065598 depth=1.00x circular=true	1735516..1736190	" Chaperone, YHD fimbriael cluster"	CP042934
2021-MIN-0250	virulence_ecoli	yehD	98.53	543 / 543	1 length=5065598 depth=1.00x circular=true	1734894..1735436	" Major pilin subunit, YHD fimbriael cluster"	CP042934
2021-MIN-0250	virulence_ecoli	yghJ	91.36	4574 / 4569	1 length=5065598 depth=1.00x circular=true	826768..831324		CP002729
2021-MIN-0250	stx	stx2	99.6	1242 / 1242	1 length=5065598 depth=1.00x circular=true	4671049..4672290	"O9 CB10366, variant i"	FN252457
2021-MIN-0251	virulence_ecoli	csgA	98.9	456 / 456	1 length=5096570 depth=1.00x circular=true	1335867..1336322	 curlin major subunit CsgA	CP069646
2021-MIN-0251	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	1 length=5096570 depth=1.00x circular=true	964829..965969	   Heat-labile enterotoxin LTII-a	JQ031711
2021-MIN-0251	virulence_ecoli	fdeC	95.49	4254 / 4254	1 length=5096570 depth=1.00x circular=true	2194063..2198316	 intimin-like adhesin FdeC	AP010953
2021-MIN-0251	virulence_ecoli	fimH	100	489 / 489	1 length=5096570 depth=1.00x circular=true	2621265..2621753	   Type 1 fimbriae	NA
2021-MIN-0251	virulence_ecoli	gad	99.79	1401 / 1401	1 length=5096570 depth=1.00x circular=true	800456..801856	  Glutamate decarboxylase	CP002967
2021-MIN-0251	virulence_ecoli	gad	100	1401 / 1401	1 length=5096570 depth=1.00x circular=true	3544786..3546186	  Glutamate decarboxylase	CU928160
2021-MIN-0251	virulence_ecoli	hha	95.31	213 / 213	1 length=5096570 depth=1.00x circular=true	4123987..4124199	 hemolysin expression modulator Hha (previous rmoA)	453331
2021-MIN-0251	virulence_ecoli	hlyE	99.13	918 / 918	1 length=5096570 depth=1.00x circular=true	1225467..1226383	  Avian E. coli haemolysin	ECU57430
2021-MIN-0251	virulence_ecoli	iss	100	294 / 294	1 length=5096570 depth=1.00x circular=true	1920680..1920973	  Increased serum survival	CP001665
2021-MIN-0251	virulence_ecoli	lpfA	100	573 / 573	1 length=5096570 depth=1.00x circular=true	3286404..3286976	  Long polar fimbriae	KC207123
2021-MIN-0251	virulence_ecoli	nlpI	99.77	885 / 885	1 length=5096570 depth=1.00x circular=true	3879019..3879903	  lipoprotein NlpI precursor	CP000243
2021-MIN-0251	virulence_ecoli	ompT	100	954 / 954	1 length=5096570 depth=1.00x circular=true	1891118..1892071	  Outer membrane protease (protein protease 7)	AMVC01000243
2021-MIN-0251	virulence_ecoli	ompT	96.62	948 / 948	2 length=105646 depth=1.54x circular=true	4347..5294	  Outer membrane protease (protein protease 7)	CDLB01000100
2021-MIN-0251	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	1 length=5096570 depth=1.00x circular=true	2901578..2902819	   stx2i-O9-CB10366	FN252457
2021-MIN-0251	virulence_ecoli	terC	100	714 / 714	1 length=5096570 depth=1.00x circular=true	4338917..4339630	  Tellurium ion resistance protein	CP007491
2021-MIN-0251	virulence_ecoli	terC	98.85	959 / 966	1 length=5096570 depth=1.00x circular=true	3957880..3958838	  Tellurium ion resistance protein	MG591698
2021-MIN-0251	virulence_ecoli	tia	99.86	738 / 738	1 length=5096570 depth=1.00x circular=true	4172095..4172832	 Tia Invasion determinant	CP010172
2021-MIN-0251	virulence_ecoli	traJ	98.84	687 / 687	2 length=105646 depth=1.54x circular=true	74713..75399	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
2021-MIN-0251	virulence_ecoli	traT	99.86	732 / 732	2 length=105646 depth=1.54x circular=true	53162..53893	  Outer membrane protein complement resistance	CP009167
2021-MIN-0251	virulence_ecoli	yehA	98.06	1033 / 1035	1 length=5096570 depth=1.00x circular=true	5073562..5074594	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
2021-MIN-0251	virulence_ecoli	yehB	97.86	2481 / 2481	1 length=5096570 depth=1.00x circular=true	5071066..5073546	" Usher, YHD fimbriael cluster"	CP042934
2021-MIN-0251	virulence_ecoli	yehC	98.37	675 / 675	1 length=5096570 depth=1.00x circular=true	5070376..5071050	" Chaperone, YHD fimbriael cluster"	CP042934
2021-MIN-0251	virulence_ecoli	yehD	98.53	543 / 543	1 length=5096570 depth=1.00x circular=true	5069753..5070295	" Major pilin subunit, YHD fimbriael cluster"	CP042934
2021-MIN-0251	virulence_ecoli	yghJ	98.1	4573 / 4569	1 length=5096570 depth=1.00x circular=true	4091030..4095598		CP002729
2021-MIN-0251	stx	stx2	99.6	1242 / 1242	1 length=5096570 depth=1.00x circular=true	2901578..2902819	"O9 CB10366, variant i"	FN252457
2021-MIN-0252	virulence_ecoli	csgA	98.9	456 / 456	Contig_1 length=5059451 depth=1.00x	4890676..4891131	 curlin major subunit CsgA	CP069646
2021-MIN-0252	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	Contig_1 length=5059451 depth=1.00x	4519500..4520640	   Heat-labile enterotoxin LTII-a	JQ031711
2021-MIN-0252	virulence_ecoli	fdeC	95.49	4254 / 4254	Contig_1 length=5059451 depth=1.00x	615210..619463	 intimin-like adhesin FdeC	AP010953
2021-MIN-0252	virulence_ecoli	fimH	100	489 / 489	Contig_1 length=5059451 depth=1.00x	1041137..1041625	   Type 1 fimbriae	NA
2021-MIN-0252	virulence_ecoli	gad	100	1401 / 1401	Contig_1 length=5059451 depth=1.00x	4354900..4356300	  Glutamate decarboxylase	AP009240
2021-MIN-0252	virulence_ecoli	gad	100	1401 / 1401	Contig_1 length=5059451 depth=1.00x	1999408..2000808	  Glutamate decarboxylase	CU928160
2021-MIN-0252	virulence_ecoli	hha	95.31	213 / 213	Contig_1 length=5059451 depth=1.00x	2616569..2616781	 hemolysin expression modulator Hha (previous rmoA)	453331
2021-MIN-0252	virulence_ecoli	hlyE	99.13	918 / 918	Contig_1 length=5059451 depth=1.00x	4780276..4781192	  Avian E. coli haemolysin	ECU57430
2021-MIN-0252	virulence_ecoli	iss	100	294 / 294	Contig_1 length=5059451 depth=1.00x	341827..342120	  Increased serum survival	CP001665
2021-MIN-0252	virulence_ecoli	lpfA	100	573 / 573	Contig_1 length=5059451 depth=1.00x	1742305..1742877	  Long polar fimbriae	KC207123
2021-MIN-0252	virulence_ecoli	nlpI	99.77	885 / 885	Contig_1 length=5059451 depth=1.00x	2371601..2372485	  lipoprotein NlpI precursor	CP000243
2021-MIN-0252	virulence_ecoli	ompT	100	954 / 954	Contig_1 length=5059451 depth=1.00x	312265..313218	  Outer membrane protease (protein protease 7)	AMVC01000243
2021-MIN-0252	virulence_ecoli	ompT	96.62	948 / 948	Contig_2 length=105647 depth=1.46x circular=true	4347..5294	  Outer membrane protease (protein protease 7)	CDLB01000100
2021-MIN-0252	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	Contig_1 length=5059451 depth=1.00x	1357471..1358712	   stx2i-O9-CB10366	FN252457
2021-MIN-0252	virulence_ecoli	terC	100	714 / 714	Contig_1 length=5059451 depth=1.00x	2831499..2832212	  Tellurium ion resistance protein	CP007491
2021-MIN-0252	virulence_ecoli	terC	100	1041 / 1041	Contig_1 length=5059451 depth=1.00x	3033533..3034573	  Tellurium ion resistance protein	CYAS01000072
2021-MIN-0252	virulence_ecoli	terC	98.85	959 / 966	Contig_1 length=5059451 depth=1.00x	2450462..2451420	  Tellurium ion resistance protein	MG591698
2021-MIN-0252	virulence_ecoli	tia	99.86	738 / 738	Contig_1 length=5059451 depth=1.00x	2664677..2665414	 Tia Invasion determinant	CP010172
2021-MIN-0252	virulence_ecoli	traJ	98.84	687 / 687	Contig_2 length=105647 depth=1.46x circular=true	74714..75400	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
2021-MIN-0252	virulence_ecoli	traT	99.86	732 / 732	Contig_2 length=105647 depth=1.46x circular=true	53163..53894	  Outer membrane protein complement resistance	CP009167
2021-MIN-0252	virulence_ecoli	yehA	98.06	1033 / 1035	Contig_1 length=5059451 depth=1.00x	3610836..3611868	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
2021-MIN-0252	virulence_ecoli	yehB	97.86	2481 / 2481	Contig_1 length=5059451 depth=1.00x	3608340..3610820	" Usher, YHD fimbriael cluster"	CP042934
2021-MIN-0252	virulence_ecoli	yehC	98.37	675 / 675	Contig_1 length=5059451 depth=1.00x	3607650..3608324	" Chaperone, YHD fimbriael cluster"	CP042934
2021-MIN-0252	virulence_ecoli	yehD	98.71	543 / 543	Contig_1 length=5059451 depth=1.00x	3607027..3607569	" Major pilin subunit, YHD fimbriael cluster"	CP042934
2021-MIN-0252	virulence_ecoli	yghJ	98.1	4573 / 4569	Contig_1 length=5059451 depth=1.00x	2583612..2588180		CP002729
2021-MIN-0252	stx	stx2	99.6	1242 / 1242	Contig_1 length=5059451 depth=1.00x	1357471..1358712	"O9 CB10366, variant i"	FN252457
2022-MIN-0036	virulence_ecoli	csgA	98.9	456 / 456	3 length=429248 depth=0.73x	214317..214772	 curlin major subunit CsgA	CP069646
2022-MIN-0036	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	5 length=383405 depth=0.77x	247081..248221	   Heat-labile enterotoxin LTII-a	JQ031711
2022-MIN-0036	virulence_ecoli	fdeC	95.49	4254 / 4254	6 length=378498 depth=1.02x	100316..104569	 intimin-like adhesin FdeC	AP010953
2022-MIN-0036	virulence_ecoli	fimH	100	489 / 489	2 length=701209 depth=1.04x	315819..316307	   Type 1 fimbriae	NA
2022-MIN-0036	virulence_ecoli	gad	99.79	1401 / 1401	5 length=383405 depth=0.77x	82708..84108	  Glutamate decarboxylase	CP002967
2022-MIN-0036	virulence_ecoli	gad	100	1401 / 1401	1 length=1902226 depth=1.00x	287006..288406	  Glutamate decarboxylase	CU928160
2022-MIN-0036	virulence_ecoli	hha	95.31	213 / 213	1 length=1902226 depth=1.00x	866208..866420	 hemolysin expression modulator Hha (previous rmoA)	453331
2022-MIN-0036	virulence_ecoli	hlyE	99.13	918 / 918	3 length=429248 depth=0.73x	324256..325172	  Avian E. coli haemolysin	ECU57430
2022-MIN-0036	virulence_ecoli	iss	100	294 / 294	6 length=378498 depth=1.02x	377659..377952	  Increased serum survival	CP001665
2022-MIN-0036	virulence_ecoli	lpfA	100	573 / 573	1 length=1902226 depth=1.00x	29903..30475	  Long polar fimbriae	KC207123
2022-MIN-0036	virulence_ecoli	nlpI	99.77	885 / 885	1 length=1902226 depth=1.00x	621240..622124	  lipoprotein NlpI precursor	CP000243
2022-MIN-0036	virulence_ecoli	ompT	100	954 / 954	7 length=323658 depth=0.97x	10451..11404	  Outer membrane protease (protein protease 7)	AMVC01000243
2022-MIN-0036	virulence_ecoli	ompT	96.62	948 / 948	10 length=105653 depth=1.34x circular=true	4347..5294	  Outer membrane protease (protein protease 7)	CDLB01000100
2022-MIN-0036	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	2 length=701209 depth=1.04x	632152..633393	   stx2i-O9-CB10366	FN252457
2022-MIN-0036	virulence_ecoli	terC	100	714 / 714	1 length=1902226 depth=1.00x	1081137..1081850	  Tellurium ion resistance protein	CP007491
2022-MIN-0036	virulence_ecoli	terC	100	1041 / 1041	1 length=1902226 depth=1.00x	1283237..1284277	  Tellurium ion resistance protein	CYAS01000072
2022-MIN-0036	virulence_ecoli	terC	98.85	959 / 966	1 length=1902226 depth=1.00x	700101..701059	  Tellurium ion resistance protein	MG591698
2022-MIN-0036	virulence_ecoli	tia	99.86	738 / 738	1 length=1902226 depth=1.00x	914316..915053	 Tia Invasion determinant	CP010172
2022-MIN-0036	virulence_ecoli	traJ	98.84	687 / 687	10 length=105653 depth=1.34x circular=true	74714..75400	  Protein TraJ (Positive regulator of conjugal transfer operon)	CP007150
2022-MIN-0036	virulence_ecoli	traT	99.86	732 / 732	10 length=105653 depth=1.34x circular=true	53163..53894	  Outer membrane protein complement resistance	CP009167
2022-MIN-0036	virulence_ecoli	yehA	98.06	1033 / 1035	1 length=1902226 depth=1.00x	1860303..1861335	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
2022-MIN-0036	virulence_ecoli	yehB	97.86	2481 / 2481	1 length=1902226 depth=1.00x	1857807..1860287	" Usher, YHD fimbriael cluster"	CP042934
2022-MIN-0036	virulence_ecoli	yehC	98.37	675 / 675	1 length=1902226 depth=1.00x	1857117..1857791	" Chaperone, YHD fimbriael cluster"	CP042934
2022-MIN-0036	virulence_ecoli	yehD	98.71	543 / 543	1 length=1902226 depth=1.00x	1856494..1857036	" Major pilin subunit, YHD fimbriael cluster"	CP042934
2022-MIN-0036	virulence_ecoli	yghJ	98.1	4573 / 4569	1 length=1902226 depth=1.00x	833251..837819		CP002729
2022-MIN-0036	stx	stx2	99.6	1242 / 1242	2 length=701209 depth=1.04x	632152..633393	"O9 CB10366, variant i"	FN252457
2022-MIN-0037	virulence_ecoli	astA	100	117 / 117	Contig_2 length=1921022 depth=1.11x circular=true	1371459..1371575	  Heat-stable enterotoxin EAST-1	AF161000
2022-MIN-0037	virulence_ecoli	capU	99.91	1089 / 1089	Contig_2 length=1921022 depth=1.11x circular=true	1124621..1125709	 Hexosyltransferase homolog	CP002729
2022-MIN-0037	virulence_ecoli	capU	99.91	1089 / 1089	Contig_2 length=1921022 depth=1.11x circular=true	1124621..1125709	 Hexosyltransferase homolog	CU928145
2022-MIN-0037	virulence_ecoli	csgA	100	456 / 456	Contig_1 length=3089149 depth=1.00x	235687..236142	 curlin major subunit CsgA	CP069646
2022-MIN-0037	virulence_ecoli	eltIIAB-a	98.42	1141 / 1141	Contig_1 length=3089149 depth=1.00x	2954657..2955797	   Heat-labile enterotoxin LTII-a	JQ031711
2022-MIN-0037	virulence_ecoli	fdeC	93.57	4258 / 4254	Contig_2 length=1921022 depth=1.11x circular=true	664924..669174	 intimin-like adhesin FdeC	AP010953
2022-MIN-0037	virulence_ecoli	gad	100	1401 / 1401	Contig_2 length=1921022 depth=1.11x circular=true	226132..227532	  Glutamate decarboxylase	AP010953
2022-MIN-0037	virulence_ecoli	gad	99	1401 / 1401	Contig_1 length=3089149 depth=1.00x	2807115..2808515	  Glutamate decarboxylase	BA000007
2022-MIN-0037	virulence_ecoli	hlyE	98.69	918 / 918	Contig_1 length=3089149 depth=1.00x	124598..125515	  Avian E. coli haemolysin	ECU57430
2022-MIN-0037	virulence_ecoli	mchB	99.66	294 / 294	Contig_2 length=1921022 depth=1.11x circular=true	1360427..1360720	  Microcin H47 part of colicin H	AJ009631
2022-MIN-0037	virulence_ecoli	mchC	99.74	1551 / 1551	Contig_2 length=1921022 depth=1.11x circular=true	1358606..1360156	  MchC protein	FN554766
2022-MIN-0037	virulence_ecoli	mchF	98.95	2097 / 2097	Contig_2 length=1921022 depth=1.11x circular=true	1354612..1356708	  ABC transporter protein MchF	FN554766
2022-MIN-0037	virulence_ecoli	mcmA	97.85	279 / 279	Contig_2 length=1921022 depth=1.11x circular=true	1354080..1354358	  Microcin M part of colicin H	AJ586887
